seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
409,1707843130.0,GPS1_Frame,42.33823934,-71.08650714,23.301,328114.96858616994,4689440.037398302,19,T,0.8,"$GNGGA,165210.00,4220.2943604,N,07105.1904284,W,5,18,0.8,23.301,M,-28.725,M,1.0,0061*53",5
410,1707843131.0,GPS1_Frame,42.338239316666666,-71.08650710166667,23.288,328114.9716805975,4689440.034729823,19,T,0.8,"$GNGGA,165211.00,4220.2943590,N,07105.1904261,W,5,18,0.8,23.288,M,-28.725,M,2.0,0061*54",5
411,1707843132.0,GPS1_Frame,42.338239275,-71.08650708833333,23.284,328114.9726655055,4689440.030076105,19,T,0.8,"$GNGGA,165212.00,4220.2943565,N,07105.1904253,W,5,18,0.8,23.284,M,-28.725,M,1.0,0061*53",5
412,1707843133.0,GPS1_Frame,42.338239215,-71.086507065,23.275,328114.9744242874,4689440.023366394,19,T,0.8,"$GNGGA,165213.00,4220.2943529,N,07105.1904239,W,5,18,0.8,23.275,M,-28.725,M,1.0,0061*58",5
413,1707843134.0,GPS1_Frame,42.33823917,-71.08650705333334,23.263,328114.9752628066,4689440.018345904,19,T,0.8,"$GNGGA,165214.00,4220.2943502,N,07105.1904232,W,5,18,0.8,23.263,M,-28.725,M,2.0,0061*59",5
414,1707843135.0,GPS1_Frame,42.33823912,-71.086507085,23.262,328114.97251778544,4689440.012857796,19,T,0.8,"$GNGGA,165215.00,4220.2943472,N,07105.1904251,W,5,18,0.8,23.262,M,-28.725,M,1.0,0061*59",5
415,1707843136.0,GPS1_Frame,42.338239103333336,-71.08650705666666,23.259,328114.9748065508,4689440.010949817,19,T,0.8,"$GNGGA,165216.00,4220.2943462,N,07105.1904234,W,5,18,0.8,23.259,M,-28.725,M,1.0,0061*50",5
416,1707843137.0,GPS1_Frame,42.33823903166667,-71.08650705,23.258,328114.9751604984,4689440.002978303,19,T,0.8,"$GNGGA,165217.00,4220.2943419,N,07105.1904230,W,5,18,0.8,23.258,M,-28.725,M,1.0,0061*58",5
417,1707843138.0,GPS1_Frame,42.338238993333334,-71.08650706,23.253,328114.97423222405,4689439.998741892,19,T,0.8,"$GNGGA,165218.00,4220.2943396,N,07105.1904236,W,5,18,0.8,23.253,M,-28.725,M,1.0,0061*5A",5
418,1707843139.0,GPS1_Frame,42.33823899666667,-71.08650709,23.247,328114.971769823,4689439.999172677,19,T,0.8,"$GNGGA,165219.00,4220.2943398,N,07105.1904254,W,5,18,0.8,23.247,M,-28.725,M,1.0,0061*54",5
419,1707843140.0,GPS1_Frame,42.33823897833334,-71.086507105,23.243,328114.9704841282,4689439.997167224,19,T,0.8,"$GNGGA,165220.00,4220.2943387,N,07105.1904263,W,5,18,0.8,23.243,M,-28.725,M,1.0,0061*50",5
420,1707843141.0,GPS1_Frame,42.338238958333335,-71.08650715333333,23.246,328114.96644780046,4689439.99504408,19,T,0.8,"$GNGGA,165221.00,4220.2943375,N,07105.1904292,W,5,18,0.8,23.246,M,-28.725,M,1.0,0061*57",5
421,1707843142.0,GPS1_Frame,42.338238956666665,-71.08650721666666,23.248,328114.96122568613,4689439.994987035,19,T,0.8,"$GNGGA,165222.00,4220.2943374,N,07105.1904330,W,5,18,0.8,23.248,M,-28.725,M,1.0,0061*52",5
422,1707843143.0,GPS1_Frame,42.33823895,-71.086507225,23.253,328114.96052099846,4689439.994263599,19,T,0.8,"$GNGGA,165223.00,4220.2943370,N,07105.1904335,W,5,18,0.8,23.253,M,-28.725,M,1.0,0061*58",5
423,1707843144.0,GPS1_Frame,42.33823893,-71.08650722333333,23.254,328114.9606038084,4689439.992039383,19,T,0.8,"$GNGGA,165224.00,4220.2943358,N,07105.1904334,W,5,18,0.8,23.254,M,-28.725,M,2.0,0061*50",5
424,1707843145.0,GPS1_Frame,42.3382389,-71.08650718833333,23.255,328114.9634054629,4689439.98863736,19,T,0.8,"$GNGGA,165225.00,4220.2943340,N,07105.1904313,W,5,18,0.8,23.255,M,-28.725,M,1.0,0061*5F",5
425,1707843146.0,GPS1_Frame,42.338238868333335,-71.08650714833334,23.252,328114.96661448886,4689439.985040158,19,T,0.8,"$GNGGA,165226.00,4220.2943321,N,07105.1904289,W,5,18,0.8,23.252,M,-28.725,M,2.0,0061*5D",5
426,1707843147.0,GPS1_Frame,42.33823885333333,-71.086507165,23.249,328114.96520057437,4689439.983408213,19,T,0.8,"$GNGGA,165227.00,4220.2943312,N,07105.1904299,W,5,18,0.8,23.249,M,-28.725,M,1.0,0061*54",5
427,1707843148.0,GPS1_Frame,42.33823884833333,-71.08650717666667,23.242,328114.9642258195,4689439.982876585,19,T,0.8,"$GNGGA,165228.00,4220.2943309,N,07105.1904306,W,5,18,0.8,23.242,M,-28.725,M,2.0,0061*5E",5
428,1707843149.0,GPS1_Frame,42.338238885,-71.08650724,23.238,328114.95910815045,4689439.987076166,19,T,0.8,"$GNGGA,165229.00,4220.2943331,N,07105.1904344,W,5,18,0.8,23.238,M,-28.725,M,1.0,0061*5C",5
429,1707843150.0,GPS1_Frame,42.338238948333334,-71.08650729666667,23.235,328114.9546123591,4689439.994223402,19,T,0.8,"$GNGGA,165230.00,4220.2943369,N,07105.1904378,W,5,18,0.8,23.235,M,-28.725,M,2.0,0061*58",5
430,1707843151.0,GPS1_Frame,42.33823896,-71.08650732333334,23.23,328114.95244727447,4689439.995572801,19,T,0.8,"$GNGGA,165231.00,4220.2943376,N,07105.1904394,W,5,18,0.8,23.230,M,-28.725,M,1.0,0061*53",5
431,1707843152.0,GPS1_Frame,42.33823899,-71.08650732833334,23.226,328114.95211710123,4689439.99891418,19,T,0.8,"$GNGGA,165232.00,4220.2943394,N,07105.1904397,W,5,18,0.8,23.226,M,-28.725,M,1.0,0061*58",5
432,1707843153.0,GPS1_Frame,42.33823900833333,-71.08650733166667,23.223,328114.9518924459,4689440.0009566955,19,T,0.8,"$GNGGA,165233.00,4220.2943405,N,07105.1904399,W,5,18,0.8,23.223,M,-28.725,M,2.0,0061*5E",5
433,1707843154.0,GPS1_Frame,42.338239013333336,-71.08650738,23.219,328114.94792423607,4689440.001609612,19,T,0.8,"$GNGGA,165234.00,4220.2943408,N,07105.1904428,W,5,18,0.8,23.219,M,-28.725,M,1.0,0061*53",5
434,1707843155.0,GPS1_Frame,42.33823903166667,-71.08650742166667,23.215,328114.94454157434,4689440.003729617,19,T,0.8,"$GNGGA,165235.00,4220.2943419,N,07105.1904453,W,5,18,0.8,23.215,M,-28.725,M,1.0,0061*52",5
435,1707843156.0,GPS1_Frame,42.338239083333335,-71.08650749166667,23.21,328114.9389155593,4689440.009608311,19,T,0.8,"$GNGGA,165236.00,4220.2943450,N,07105.1904495,W,5,18,0.8,23.210,M,-28.725,M,1.0,0061*53",5
436,1707843157.0,GPS1_Frame,42.33823912166667,-71.086507555,23.207,328114.93380243145,4689440.013992961,19,T,0.8,"$GNGGA,165237.00,4220.2943473,N,07105.1904533,W,5,18,0.8,23.207,M,-28.725,M,1.0,0061*58",5
437,1707843158.0,GPS1_Frame,42.338239145,-71.08650761666667,23.209,328114.9287857371,4689440.016708608,19,T,0.8,"$GNGGA,165238.00,4220.2943487,N,07105.1904570,W,5,18,0.8,23.209,M,-28.725,M,1.0,0061*55",5
438,1707843159.0,GPS1_Frame,42.33823915166667,-71.08650766166667,23.211,328114.9250966767,4689440.017539857,19,T,0.8,"$GNGGA,165239.00,4220.2943491,N,07105.1904597,W,5,18,0.8,23.211,M,-28.725,M,1.0,0061*53",5
439,1707843160.0,GPS1_Frame,42.338239195,-71.08650771666667,23.211,328114.92068369745,4689440.022462873,19,T,0.8,"$GNGGA,165240.00,4220.2943517,N,07105.1904630,W,5,18,0.8,23.211,M,-28.725,M,2.0,0061*5F",5
440,1707843161.0,GPS1_Frame,42.33823917833333,-71.08650774833333,23.212,328114.91802949796,4689440.020676182,19,T,0.8,"$GNGGA,165241.00,4220.2943507,N,07105.1904649,W,5,18,0.8,23.212,M,-28.725,M,1.0,0061*51",5
441,1707843162.0,GPS1_Frame,42.33823920166667,-71.08650777,23.212,328114.9163081162,4689440.023310969,19,T,0.8,"$GNGGA,165242.00,4220.2943521,N,07105.1904662,W,5,18,0.8,23.212,M,-28.725,M,1.0,0061*5F",5
442,1707843163.0,GPS1_Frame,42.33823923333333,-71.08650777166666,23.209,328114.9162570946,4689440.026830678,19,T,0.8,"$GNGGA,165243.00,4220.2943540,N,07105.1904663,W,5,18,0.8,23.209,M,-28.725,M,2.0,0061*51",5
443,1707843164.0,GPS1_Frame,42.338239205,-71.08650773,23.206,328114.9196125091,4689440.02360025,19,T,0.8,"$GNGGA,165244.00,4220.2943523,N,07105.1904638,W,5,18,0.8,23.206,M,-28.725,M,1.0,0061*51",5
444,1707843165.0,GPS1_Frame,42.338239181666665,-71.086507705,23.199,328114.92160850135,4689440.020958724,19,T,0.8,"$GNGGA,165245.00,4220.2943509,N,07105.1904623,W,5,18,0.8,23.199,M,-28.725,M,2.0,0061*54",5
445,1707843166.0,GPS1_Frame,42.338239146666666,-71.08650767,23.196,328114.9243965323,4689440.017001491,19,T,0.8,"$GNGGA,165246.00,4220.2943488,N,07105.1904602,W,5,18,0.8,23.196,M,-28.725,M,1.0,0061*50",5
446,1707843167.0,GPS1_Frame,42.33823914,-71.08650765833333,23.192,328114.9253395009,4689440.016237623,19,T,0.8,"$GNGGA,165247.00,4220.2943484,N,07105.1904595,W,5,18,0.8,23.192,M,-28.725,M,1.0,0061*54",5
447,1707843168.0,GPS1_Frame,42.33823913,-71.08650763833333,23.184,328114.926959908,4689440.015086769,19,T,0.8,"$GNGGA,165248.00,4220.2943478,N,07105.1904583,W,5,18,0.8,23.184,M,-28.725,M,2.0,0061*5B",5
448,1707843169.0,GPS1_Frame,42.33823907666667,-71.08650758833333,23.18,328114.93093372765,4689440.009063436,19,T,0.8,"$GNGGA,165249.00,4220.2943446,N,07105.1904553,W,5,18,0.8,23.180,M,-28.725,M,1.0,0061*5D",5
449,1707843170.0,GPS1_Frame,42.33823903166667,-71.08650758,23.176,328114.93149763637,4689440.004049684,19,T,0.8,"$GNGGA,165250.00,4220.2943419,N,07105.1904548,W,5,18,0.8,23.176,M,-28.725,M,2.0,0061*5F",5
450,1707843171.0,GPS1_Frame,42.33823901666667,-71.08650758166667,23.177,328114.9313194615,4689440.002387417,19,T,0.8,"$GNGGA,165251.00,4220.2943410,N,07105.1904549,W,5,18,0.8,23.177,M,-28.725,M,1.0,0061*54",5
451,1707843172.0,GPS1_Frame,42.33823897,-71.086507575,23.181,328114.93174152914,4689439.997191963,19,T,0.8,"$GNGGA,165252.00,4220.2943382,N,07105.1904545,W,5,18,0.8,23.181,M,-28.725,M,1.0,0061*5E",5
452,1707843173.0,GPS1_Frame,42.338238903333334,-71.08650749166667,23.183,328114.938425111,4689439.989620682,19,T,0.8,"$GNGGA,165253.00,4220.2943342,N,07105.1904495,W,5,18,0.8,23.183,M,-28.725,M,2.0,0061*5E",5
453,1707843174.0,GPS1_Frame,42.33823883833333,-71.08650743333334,23.186,328114.94305366324,4689439.982285007,19,T,0.8,"$GNGGA,165254.00,4220.2943303,N,07105.1904460,W,5,18,0.8,23.186,M,-28.725,M,1.0,0061*50",5
454,1707843175.0,GPS1_Frame,42.338238823333334,-71.08650741833333,23.187,328114.9442485342,4689439.98058905,19,T,0.8,"$GNGGA,165255.00,4220.2943294,N,07105.1904451,W,5,18,0.8,23.187,M,-28.725,M,1.0,0061*5D",5
455,1707843176.0,GPS1_Frame,42.3382388,-71.08650741,23.186,328114.9448714827,4689439.977981215,19,T,0.8,"$GNGGA,165256.00,4220.2943280,N,07105.1904446,W,5,17,0.8,23.186,M,-28.725,M,1.0,0061*53",5
456,1707843177.0,GPS1_Frame,42.33823878333333,-71.08650743333334,23.185,328114.942903804,4689439.976177676,19,T,0.8,"$GNGGA,165257.00,4220.2943270,N,07105.1904460,W,5,18,0.8,23.185,M,-28.725,M,1.0,0061*55",5
457,1707843178.0,GPS1_Frame,42.33823878,-71.08650748166667,23.184,328114.93891288806,4689439.975905239,19,T,0.8,"$GNGGA,165258.00,4220.2943268,N,07105.1904489,W,5,18,0.8,23.184,M,-28.725,M,2.0,0061*56",5
458,1707843179.0,GPS1_Frame,42.33823876833333,-71.08650751666667,23.187,328114.9359977038,4689439.974680497,19,T,0.8,"$GNGGA,165259.00,4220.2943261,N,07105.1904510,W,5,18,0.8,23.187,M,-28.725,M,1.0,0061*5F",5
