seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
37,1706649442.0,GPS1_Frame,42.338458333333335,-71.08621166666667,27.9,328139.90710357146,4689463.757689828,19,T,1.3,"$GPGGA,211722.000,4220.3075,N,07105.1727,W,1,08,1.3,27.9,M,-33.8,M,,0000*5D"
38,1706649443.0,GPS1_Frame,42.338453333333334,-71.086215,27.7,328139.6188736409,4689463.209215224,19,T,1.3,"$GPGGA,211723.000,4220.3072,N,07105.1729,W,1,08,1.3,27.7,M,-33.8,M,,0000*5B"
39,1706649444.0,GPS1_Frame,42.338451666666664,-71.08621833333333,27.6,328139.3397248171,4689463.030881899,19,T,1.3,"$GPGGA,211724.000,4220.3071,N,07105.1731,W,1,08,1.3,27.6,M,-33.8,M,,0000*57"
40,1706649445.0,GPS1_Frame,42.33844833333333,-71.08622166666666,27.4,328139.0560353992,4689462.667477951,19,T,1.3,"$GPGGA,211725.000,4220.3069,N,07105.1733,W,1,08,1.3,27.4,M,-33.8,M,,0000*5F"
41,1706649446.0,GPS1_Frame,42.338445,-71.086225,27.2,328138.7723459507,4689462.304074014,19,T,1.3,"$GPGGA,211726.000,4220.3067,N,07105.1735,W,1,08,1.3,27.2,M,-33.8,M,,0000*52"
42,1706649447.0,GPS1_Frame,42.33844166666667,-71.08623,27.1,328138.3513523268,4689461.944038764,19,T,1.3,"$GPGGA,211727.000,4220.3065,N,07105.1738,W,1,08,1.3,27.1,M,-33.8,M,,0000*5F"
43,1706649448.0,GPS1_Frame,42.33843666666667,-71.086235,27.0,328137.9258180458,4689461.398932902,19,T,1.3,"$GPGGA,211728.000,4220.3062,N,07105.1741,W,1,08,1.3,27.0,M,-33.8,M,,0000*58"
44,1706649449.0,GPS1_Frame,42.338433333333334,-71.08624166666667,27.1,328137.3675201599,4689461.042266395,19,T,1.3,"$GPGGA,211729.000,4220.3060,N,07105.1745,W,1,08,1.3,27.1,M,-33.8,M,,0000*5E"
45,1706649450.0,GPS1_Frame,42.33843,-71.08624833333333,27.0,328136.80922221625,4689460.685599932,19,T,1.3,"$GPGGA,211730.000,4220.3058,N,07105.1749,W,1,08,1.3,27.0,M,-33.8,M,,0000*50"
46,1706649451.0,GPS1_Frame,42.338425,-71.08625333333333,27.0,328136.3836877418,4689460.1404941585,19,T,1.3,"$GPGGA,211731.000,4220.3055,N,07105.1752,W,1,08,1.3,27.0,M,-33.8,M,,0000*56"
47,1706649452.0,GPS1_Frame,42.33841833333334,-71.08626,26.8,328135.8163083462,4689459.4136865,19,T,1.3,"$GPGGA,211732.000,4220.3051,N,07105.1756,W,1,08,1.3,26.8,M,-33.8,M,,0000*5C"
48,1706649453.0,GPS1_Frame,42.338413333333335,-71.08626666666666,26.8,328135.25346951315,4689458.871949518,19,T,1.3,"$GPGGA,211733.000,4220.3048,N,07105.1760,W,1,08,1.3,26.8,M,-33.8,M,,0000*50"
49,1706649454.0,GPS1_Frame,42.338405,-71.08627166666666,26.7,328134.8188534379,4689457.956702564,19,T,1.3,"$GPGGA,211734.000,4220.3043,N,07105.1763,W,1,08,1.3,26.7,M,-33.8,M,,0000*50"
50,1706649455.0,GPS1_Frame,42.33839833333333,-71.08627833333334,26.7,328134.2514737125,4689457.229895023,19,T,1.3,"$GPGGA,211735.000,4220.3039,N,07105.1767,W,1,08,1.3,26.7,M,-33.8,M,,0000*58"
51,1706649456.0,GPS1_Frame,42.33839666666667,-71.086285,26.7,328133.69771602406,4689457.0582994325,19,T,1.3,"$GPGGA,211736.000,4220.3038,N,07105.1771,W,1,08,1.3,26.7,M,-33.8,M,,0000*5D"
52,1706649457.0,GPS1_Frame,42.338395,-71.08629333333333,26.7,328133.0066540595,4689456.890072662,19,T,1.3,"$GPGGA,211737.000,4220.3037,N,07105.1776,W,1,08,1.3,26.7,M,-33.8,M,,0000*54"
53,1706649458.0,GPS1_Frame,42.338391666666666,-71.0863,26.9,328132.4483555596,4689456.533406531,19,T,1.3,"$GPGGA,211738.000,4220.3035,N,07105.1780,W,1,08,1.3,26.9,M,-33.8,M,,0000*5E"
54,1706649459.0,GPS1_Frame,42.33838333333333,-71.086305,26.9,328132.0137389883,4689455.61815974,19,T,1.3,"$GPGGA,211739.000,4220.3030,N,07105.1783,W,1,08,1.3,26.9,M,-33.8,M,,0000*59"
55,1706649460.0,GPS1_Frame,42.33837833333333,-71.08631166666666,26.8,328131.4508995638,4689455.076423049,19,T,1.3,"$GPGGA,211740.000,4220.3027,N,07105.1787,W,1,08,1.3,26.8,M,-33.8,M,,0000*54"
56,1706649461.0,GPS1_Frame,42.338368333333335,-71.08631833333334,26.7,328130.87443769054,4689453.979474498,19,T,1.3,"$GPGGA,211741.000,4220.3021,N,07105.1791,W,1,08,1.3,26.7,M,-33.8,M,,0000*5B"
57,1706649462.0,GPS1_Frame,42.338361666666664,-71.086325,26.6,328130.3070572503,4689453.252667259,19,T,1.3,"$GPGGA,211742.000,4220.3017,N,07105.1795,W,1,08,1.3,26.6,M,-33.8,M,,0000*58"
58,1706649463.0,GPS1_Frame,42.33835666666667,-71.08633,26.4,328129.88152184634,4689452.70756186,19,T,1.3,"$GPGGA,211743.000,4220.3014,N,07105.1798,W,1,08,1.3,26.4,M,-33.8,M,,0000*55"
59,1706649464.0,GPS1_Frame,42.33835,-71.08633666666667,26.2,328129.31414120644,4689451.980754696,19,T,1.3,"$GPGGA,211744.000,4220.3010,N,07105.1802,W,1,08,1.3,26.2,M,-33.8,M,,0000*5C"
60,1706649465.0,GPS1_Frame,42.338345,-71.08634333333333,26.0,328128.75130129425,4689451.439018211,19,T,1.3,"$GPGGA,211745.000,4220.3007,N,07105.1806,W,1,08,1.3,26.0,M,-33.8,M,,0000*5D"
61,1706649466.0,GPS1_Frame,42.33833833333333,-71.08634833333333,25.9,328128.3212248153,4689450.708842266,19,T,1.3,"$GPGGA,211746.000,4220.3003,N,07105.1809,W,1,08,1.3,25.9,M,-33.8,M,,0000*5F"
62,1706649467.0,GPS1_Frame,42.33833166666667,-71.086355,25.8,328127.75384386384,4689449.9820352215,19,T,1.3,"$GPGGA,211747.000,4220.2999,N,07105.1813,W,1,08,1.3,25.8,M,-33.8,M,,0000*5F"
63,1706649468.0,GPS1_Frame,42.338325,-71.08636333333334,25.8,328127.0491583919,4689449.258597111,19,T,1.3,"$GPGGA,211748.000,4220.2995,N,07105.1818,W,1,08,1.3,25.8,M,-33.8,M,,0000*57"
64,1706649469.0,GPS1_Frame,42.33831833333333,-71.08637,25.7,328126.4817771956,4689448.531790165,19,T,1.6,"$GPGGA,211749.000,4220.2991,N,07105.1822,W,1,06,1.6,25.7,M,-33.8,M,,0000*5F"
65,1706649470.0,GPS1_Frame,42.33831166666667,-71.08637666666667,25.7,328125.91439588735,4689447.804983263,19,T,1.6,"$GPGGA,211750.000,4220.2987,N,07105.1826,W,1,07,1.6,25.7,M,-33.8,M,,0000*55"
66,1706649471.0,GPS1_Frame,42.338305,-71.08638166666667,25.6,328125.4843189087,4689447.074807479,19,T,1.6,"$GPGGA,211751.000,4220.2983,N,07105.1829,W,1,06,1.6,25.6,M,-33.8,M,,0000*5F"
67,1706649472.0,GPS1_Frame,42.3383,-71.08638833333333,25.6,328124.9214783207,4689446.533071286,19,T,1.3,"$GPGGA,211752.000,4220.2980,N,07105.1833,W,1,08,1.3,25.6,M,-33.8,M,,0000*5F"
68,1706649473.0,GPS1_Frame,42.33829333333333,-71.086395,25.8,328124.3540966987,4689445.806264502,19,T,1.3,"$GPGGA,211753.000,4220.2976,N,07105.1837,W,1,08,1.3,25.8,M,-33.8,M,,0000*5D"
69,1706649474.0,GPS1_Frame,42.33828666666667,-71.08640333333334,26.2,328123.64941047237,4689445.082826716,19,T,1.3,"$GPGGA,211754.000,4220.2972,N,07105.1842,W,1,08,1.3,26.2,M,-33.8,M,,0000*55"
70,1706649475.0,GPS1_Frame,42.33828166666667,-71.08641,26.4,328123.086569587,4689444.541090663,19,T,1.3,"$GPGGA,211755.000,4220.2969,N,07105.1846,W,1,08,1.3,26.4,M,-33.8,M,,0000*5C"
71,1706649476.0,GPS1_Frame,42.338276666666665,-71.08641666666666,26.8,328122.52372861357,4689443.999354652,19,T,1.3,"$GPGGA,211756.000,4220.2966,N,07105.1850,W,1,08,1.3,26.8,M,-33.8,M,,0000*5B"
