seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
38,1706651400.0,GPS1_Frame,42.340055,-71.09094333333333,43.9,327754.46047856496,4689650.629881159,19,T,1.3,"$GPGGA,215000.000,4220.4033,N,07105.4566,W,1,08,1.3,43.9,M,-33.8,M,,0000*5B"
39,1706651401.0,GPS1_Frame,42.34006333333333,-71.09094333333333,43.7,327754.48323362635,4689651.55523483,19,T,1.3,"$GPGGA,215001.000,4220.4038,N,07105.4566,W,1,08,1.3,43.7,M,-33.8,M,,0000*5F"
40,1706651402.0,GPS1_Frame,42.34007,-71.09094666666667,43.7,327754.2268363999,4689652.3022703985,19,T,1.6,"$GPGGA,215002.000,4220.4042,N,07105.4568,W,1,07,1.6,43.7,M,-33.8,M,,0000*55"
41,1706651403.0,GPS1_Frame,42.34007666666667,-71.090945,43.6,327754.38234110654,4689653.039177017,19,T,1.3,"$GPGGA,215003.000,4220.4046,N,07105.4567,W,1,08,1.3,43.6,M,-33.8,M,,0000*54"
42,1706651404.0,GPS1_Frame,42.34008333333333,-71.09094666666667,43.5,327754.2632445685,4689653.782836275,19,T,1.3,"$GPGGA,215004.000,4220.4050,N,07105.4568,W,1,08,1.3,43.5,M,-33.8,M,,0000*58"
43,1706651405.0,GPS1_Frame,42.340086666666664,-71.090945,43.6,327754.4096472138,4689654.149601425,19,T,1.6,"$GPGGA,215005.000,4220.4052,N,07105.4567,W,1,07,1.6,43.6,M,-33.8,M,,0000*5D"
44,1706651406.0,GPS1_Frame,42.340090000000004,-71.09094166666667,43.7,327754.69335044385,4689654.512990265,19,T,1.6,"$GPGGA,215006.000,4220.4054,N,07105.4565,W,1,07,1.6,43.7,M,-33.8,M,,0000*5B"
45,1706651407.0,GPS1_Frame,42.340095,-71.09094166666667,43.8,327754.70700347854,4689655.0682024695,19,T,1.6,"$GPGGA,215007.000,4220.4057,N,07105.4565,W,1,07,1.6,43.8,M,-33.8,M,,0000*56"
46,1706651408.0,GPS1_Frame,42.3401,-71.09094333333333,43.9,327754.5833559399,4689655.626790987,19,T,1.6,"$GPGGA,215008.000,4220.4060,N,07105.4566,W,1,07,1.6,43.9,M,-33.8,M,,0000*5F"
47,1706651409.0,GPS1_Frame,42.340106666666664,-71.09094666666667,43.9,327754.3269588861,4689656.373826562,19,T,3.7,"$GPGGA,215009.000,4220.4064,N,07105.4568,W,1,05,3.7,43.9,M,-33.8,M,,0000*55"
48,1706651410.0,GPS1_Frame,42.340111666666665,-71.09095,44.0,327754.0660108613,4689656.935791414,19,T,2.4,"$GPGGA,215010.000,4220.4067,N,07105.4570,W,1,05,2.4,44.0,M,-33.8,M,,0000*5B"
49,1706651411.0,GPS1_Frame,42.34011666666667,-71.09095333333333,44.0,327753.8050628834,4689657.497756278,19,T,2.4,"$GPGGA,215011.000,4220.4070,N,07105.4572,W,1,05,2.4,44.0,M,-33.8,M,,0000*5E"
50,1706651412.0,GPS1_Frame,42.34012333333333,-71.09094833333333,43.4,327754.2351686087,4689658.227910237,19,T,2.4,"$GPGGA,215012.000,4220.4074,N,07105.4569,W,1,05,2.4,43.4,M,-33.8,M,,0000*50"
51,1706651413.0,GPS1_Frame,42.34013,-71.09094833333333,43.3,327754.2533727251,4689658.968193182,19,T,2.4,"$GPGGA,215013.000,4220.4078,N,07105.4569,W,1,06,2.4,43.3,M,-33.8,M,,0000*59"
52,1706651414.0,GPS1_Frame,42.340135,-71.09095,43.3,327754.12972531543,4689659.5267817145,19,T,2.4,"$GPGGA,215014.000,4220.4081,N,07105.4570,W,1,06,2.4,43.3,M,-33.8,M,,0000*50"
53,1706651415.0,GPS1_Frame,42.34014,-71.09095166666667,43.3,327754.0060779309,4689660.085370251,19,T,2.4,"$GPGGA,215015.000,4220.4084,N,07105.4571,W,1,06,2.4,43.3,M,-33.8,M,,0000*55"
54,1706651416.0,GPS1_Frame,42.340145,-71.09095333333333,43.3,327753.8824305695,4689660.643958789,19,T,2.4,"$GPGGA,215016.000,4220.4087,N,07105.4572,W,1,06,2.4,43.3,M,-33.8,M,,0000*56"
55,1706651417.0,GPS1_Frame,42.34015,-71.090955,43.3,327753.75878322916,4689661.202547331,19,T,2.4,"$GPGGA,215017.000,4220.4090,N,07105.4573,W,1,06,2.4,43.3,M,-33.8,M,,0000*50"
56,1706651418.0,GPS1_Frame,42.340155,-71.09095833333333,43.5,327753.49783546093,4689661.764512217,19,T,2.4,"$GPGGA,215018.000,4220.4093,N,07105.4575,W,1,06,2.4,43.5,M,-33.8,M,,0000*5C"
57,1706651419.0,GPS1_Frame,42.34016,-71.09096,43.6,327753.37418817764,4689662.323100767,19,T,1.6,"$GPGGA,215019.000,4220.4096,N,07105.4576,W,1,07,1.6,43.6,M,-33.8,M,,0000*58"
58,1706651420.0,GPS1_Frame,42.340165,-71.09096333333333,43.6,327753.1132404862,4689662.885065668,19,T,1.6,"$GPGGA,215020.000,4220.4099,N,07105.4578,W,1,07,1.6,43.6,M,-33.8,M,,0000*53"
59,1706651421.0,GPS1_Frame,42.34017,-71.09096666666667,43.7,327752.8522928396,4689663.4470305815,19,T,1.6,"$GPGGA,215021.000,4220.4102,N,07105.4580,W,1,07,1.6,43.7,M,-33.8,M,,0000*57"
60,1706651422.0,GPS1_Frame,42.34017333333333,-71.09096833333334,43.7,327752.7240945704,4689663.82054841,19,T,1.6,"$GPGGA,215022.000,4220.4104,N,07105.4581,W,1,07,1.6,43.7,M,-33.8,M,,0000*53"
61,1706651423.0,GPS1_Frame,42.340178333333334,-71.09096833333334,43.7,327752.73774780147,4689664.375760623,19,T,1.4,"$GPGGA,215023.000,4220.4107,N,07105.4581,W,1,08,1.4,43.7,M,-33.8,M,,0000*5C"
62,1706651424.0,GPS1_Frame,42.340181666666666,-71.09097166666666,43.7,327752.47224916634,4689664.752654816,19,T,1.6,"$GPGGA,215024.000,4220.4109,N,07105.4583,W,1,07,1.6,43.7,M,-33.8,M,,0000*5A"
63,1706651425.0,GPS1_Frame,42.34018666666667,-71.090975,43.7,327752.2113016511,4689665.314619757,19,T,1.6,"$GPGGA,215025.000,4220.4112,N,07105.4585,W,1,07,1.6,43.7,M,-33.8,M,,0000*57"
64,1706651426.0,GPS1_Frame,42.34019,-71.09097833333334,43.8,327751.94580308057,4689665.691513972,19,T,1.6,"$GPGGA,215026.000,4220.4114,N,07105.4587,W,1,07,1.6,43.8,M,-33.8,M,,0000*5F"
65,1706651427.0,GPS1_Frame,42.340195,-71.09098,44.0,327751.8221560153,4689666.250102561,19,T,1.6,"$GPGGA,215027.000,4220.4117,N,07105.4588,W,1,07,1.6,44.0,M,-33.8,M,,0000*5D"
66,1706651428.0,GPS1_Frame,42.3402,-71.09098,43.9,327751.8358093283,4689666.805314775,19,T,1.6,"$GPGGA,215028.000,4220.4120,N,07105.4588,W,1,07,1.6,43.9,M,-33.8,M,,0000*58"
67,1706651429.0,GPS1_Frame,42.34020833333334,-71.09098,44.0,327751.85856485285,4689667.730668467,19,T,1.6,"$GPGGA,215029.000,4220.4125,N,07105.4588,W,1,07,1.6,44.0,M,-33.8,M,,0000*52"
68,1706651430.0,GPS1_Frame,42.34021333333333,-71.090985,44.2,327751.460317187,4689668.296009821,19,T,1.4,"$GPGGA,215030.000,4220.4128,N,07105.4591,W,1,08,1.4,44.2,M,-33.8,M,,0000*50"
69,1706651431.0,GPS1_Frame,42.34022,-71.09098833333333,44.4,327751.20392103144,4689669.043045548,19,T,1.4,"$GPGGA,215031.000,4220.4132,N,07105.4593,W,1,08,1.4,44.4,M,-33.8,M,,0000*5E"
70,1706651432.0,GPS1_Frame,42.340223333333334,-71.09099333333333,44.5,327750.80112236564,4689669.423316204,19,T,1.4,"$GPGGA,215032.000,4220.4134,N,07105.4596,W,1,08,1.4,44.5,M,-33.8,M,,0000*5F"
71,1706651433.0,GPS1_Frame,42.340228333333336,-71.09099833333333,44.8,327750.4028748907,4689669.988657627,19,T,1.4,"$GPGGA,215033.000,4220.4137,N,07105.4599,W,1,08,1.4,44.8,M,-33.8,M,,0000*5F"
72,1706651434.0,GPS1_Frame,42.34023333333333,-71.09100833333333,44.7,327749.5927266303,4689670.564128323,19,T,1.4,"$GPGGA,215034.000,4220.4140,N,07105.4605,W,1,08,1.4,44.7,M,-33.8,M,,0000*51"
73,1706651435.0,GPS1_Frame,42.34024,-71.091015,44.7,327749.0617302334,4689671.31791699,19,T,1.4,"$GPGGA,215035.000,4220.4144,N,07105.4609,W,1,08,1.4,44.7,M,-33.8,M,,0000*58"
74,1706651436.0,GPS1_Frame,42.340241666666664,-71.091025,45.8,327748.2424798238,4689671.523246372,19,T,1.4,"$GPGGA,215036.000,4220.4145,N,07105.4615,W,1,08,1.4,45.8,M,-33.8,M,,0000*59"
75,1706651437.0,GPS1_Frame,42.340246666666665,-71.091025,46.2,327748.2561334432,4689672.078458592,19,T,1.4,"$GPGGA,215037.000,4220.4148,N,07105.4615,W,1,08,1.4,46.2,M,-33.8,M,,0000*5C"
76,1706651438.0,GPS1_Frame,42.34025,-71.091025,46.6,327748.2652358569,4689672.4486000715,19,T,1.4,"$GPGGA,215038.000,4220.4150,N,07105.4615,W,1,08,1.4,46.6,M,-33.8,M,,0000*5E"
77,1706651439.0,GPS1_Frame,42.340255,-71.09102333333334,46.8,327748.41618971404,4689673.000435845,19,T,1.4,"$GPGGA,215039.000,4220.4153,N,07105.4614,W,1,08,1.4,46.8,M,-33.8,M,,0000*53"
78,1706651440.0,GPS1_Frame,42.34026,-71.09102,46.9,327748.7044437775,4689673.548895179,19,T,1.4,"$GPGGA,215040.000,4220.4156,N,07105.4612,W,1,08,1.4,46.9,M,-33.8,M,,0000*5F"
79,1706651441.0,GPS1_Frame,42.340266666666665,-71.09102,46.8,327748.7226485665,4689674.289178141,19,T,1.4,"$GPGGA,215041.000,4220.4160,N,07105.4612,W,1,08,1.4,46.8,M,-33.8,M,,0000*5A"
80,1706651442.0,GPS1_Frame,42.34027666666667,-71.09102,46.7,327748.7499557544,4689675.399602586,19,T,1.4,"$GPGGA,215042.000,4220.4166,N,07105.4612,W,1,08,1.4,46.7,M,-33.8,M,,0000*50"
81,1706651443.0,GPS1_Frame,42.340285,-71.09102,46.7,327748.7727117484,4689676.3249562895,19,T,1.4,"$GPGGA,215043.000,4220.4171,N,07105.4612,W,1,08,1.4,46.7,M,-33.8,M,,0000*57"
82,1706651444.0,GPS1_Frame,42.340295,-71.09102,46.7,327748.80001894594,4689677.435380736,19,T,1.4,"$GPGGA,215044.000,4220.4177,N,07105.4612,W,1,07,1.4,46.7,M,-33.8,M,,0000*59"
83,1706651445.0,GPS1_Frame,42.34030666666666,-71.09102,46.6,327748.83187734976,4689678.730875926,19,T,1.4,"$GPGGA,215045.000,4220.4184,N,07105.4612,W,1,08,1.4,46.6,M,-33.8,M,,0000*5A"
84,1706651446.0,GPS1_Frame,42.340316666666666,-71.09101166666666,46.3,327749.54568506876,4689679.824418204,19,T,1.4,"$GPGGA,215046.000,4220.4190,N,07105.4607,W,1,08,1.4,46.3,M,-33.8,M,,0000*5D"
85,1706651447.0,GPS1_Frame,42.34033,-71.09100166666667,45.2,327750.4058949802,4689681.284725622,19,T,1.4,"$GPGGA,215047.000,4220.4198,N,07105.4601,W,1,08,1.4,45.2,M,-33.8,M,,0000*50"
86,1706651448.0,GPS1_Frame,42.340338333333335,-71.090995,44.5,327750.97785101726,4689682.196573706,19,T,1.4,"$GPGGA,215048.000,4220.4203,N,07105.4597,W,1,08,1.4,44.5,M,-33.8,M,,0000*54"
87,1706651449.0,GPS1_Frame,42.340345,-71.09098666666667,43.8,327751.68255581835,4689682.919974704,19,T,1.4,"$GPGGA,215049.000,4220.4207,N,07105.4592,W,1,08,1.4,43.8,M,-33.8,M,,0000*5E"
88,1706651450.0,GPS1_Frame,42.34035333333333,-71.09097833333334,42.7,327752.39181158633,4689683.828446511,19,T,1.4,"$GPGGA,215050.000,4220.4212,N,07105.4587,W,1,08,1.4,42.7,M,-33.8,M,,0000*58"
89,1706651451.0,GPS1_Frame,42.34036666666667,-71.09096166666667,40.8,327753.801220433,4689685.27524884,19,T,1.4,"$GPGGA,215051.000,4220.4220,N,07105.4577,W,1,07,1.4,40.8,M,-33.8,M,,0000*55"
90,1706651452.0,GPS1_Frame,42.340381666666666,-71.09094833333333,39.1,327754.94057983276,4689686.913874833,19,T,1.4,"$GPGGA,215052.000,4220.4229,N,07105.4569,W,1,08,1.4,39.1,M,-33.8,M,,0000*58"
91,1706651453.0,GPS1_Frame,42.340395,-71.09093666666666,37.5,327755.938087765,4689688.370806561,19,T,1.4,"$GPGGA,215053.000,4220.4237,N,07105.4562,W,1,08,1.4,37.5,M,-33.8,M,,0000*57"
92,1706651454.0,GPS1_Frame,42.340403333333335,-71.090935,37.1,327756.0981428148,4689689.292783971,19,T,1.4,"$GPGGA,215054.000,4220.4242,N,07105.4561,W,1,08,1.4,37.1,M,-33.8,M,,0000*55"
93,1706651455.0,GPS1_Frame,42.34041333333333,-71.09093666666666,37.0,327755.9881490737,4689690.406584737,19,T,1.4,"$GPGGA,215055.000,4220.4248,N,07105.4562,W,1,08,1.4,37.0,M,-33.8,M,,0000*5C"
94,1706651456.0,GPS1_Frame,42.34041666666667,-71.09093666666666,36.8,327755.99725113175,4689690.776726225,19,T,1.4,"$GPGGA,215056.000,4220.4250,N,07105.4562,W,1,08,1.4,36.8,M,-33.8,M,,0000*5F"
95,1706651457.0,GPS1_Frame,42.340423333333334,-71.09093666666666,36.8,327756.0154552495,4689691.5170092005,19,T,1.4,"$GPGGA,215057.000,4220.4254,N,07105.4562,W,1,08,1.4,36.8,M,-33.8,M,,0000*5A"
96,1706651458.0,GPS1_Frame,42.34043166666667,-71.09093833333333,36.8,327755.90091054805,4689692.445739229,19,T,1.4,"$GPGGA,215058.000,4220.4259,N,07105.4563,W,1,08,1.4,36.8,M,-33.8,M,,0000*59"
97,1706651459.0,GPS1_Frame,42.34044,-71.09093833333333,36.8,327755.9236657204,4689693.371092951,19,T,1.4,"$GPGGA,215059.000,4220.4264,N,07105.4563,W,1,08,1.4,36.8,M,-33.8,M,,0000*56"
98,1706651460.0,GPS1_Frame,42.340448333333335,-71.09094,36.8,327755.8091210807,4689694.299822987,19,T,1.4,"$GPGGA,215100.000,4220.4269,N,07105.4564,W,1,08,1.4,36.8,M,-33.8,M,,0000*51"
99,1706651461.0,GPS1_Frame,42.34045666666667,-71.09094333333333,36.8,327755.55727668747,4689695.231929343,19,T,1.4,"$GPGGA,215101.000,4220.4274,N,07105.4566,W,1,08,1.4,36.8,M,-33.8,M,,0000*5E"
100,1706651462.0,GPS1_Frame,42.34046333333333,-71.090945,36.8,327755.4381810943,4689695.975588643,19,T,1.4,"$GPGGA,215102.000,4220.4278,N,07105.4567,W,1,08,1.4,36.8,M,-33.8,M,,0000*50"
101,1706651463.0,GPS1_Frame,42.340471666666666,-71.09094666666667,36.8,327755.3236365904,4689696.904318693,19,T,1.4,"$GPGGA,215103.000,4220.4283,N,07105.4568,W,1,08,1.4,36.8,M,-33.8,M,,0000*5A"
102,1706651464.0,GPS1_Frame,42.34048,-71.09094833333333,36.8,327755.20909212634,4689697.833048747,19,T,1.4,"$GPGGA,215104.000,4220.4288,N,07105.4569,W,1,08,1.4,36.8,M,-33.8,M,,0000*57"
103,1706651465.0,GPS1_Frame,42.34048666666666,-71.09094833333333,36.8,327755.2272963681,4689698.573331731,19,T,1.4,"$GPGGA,215105.000,4220.4292,N,07105.4569,W,1,08,1.4,36.8,M,-33.8,M,,0000*5D"
104,1706651466.0,GPS1_Frame,42.340491666666665,-71.09094666666667,36.6,327755.37824927026,4689699.125167642,19,T,1.4,"$GPGGA,215106.000,4220.4295,N,07105.4568,W,1,08,1.4,36.6,M,-33.8,M,,0000*56"
105,1706651467.0,GPS1_Frame,42.340491666666665,-71.09094833333333,36.4,327755.240949551,4689699.128543969,19,T,1.4,"$GPGGA,215107.000,4220.4295,N,07105.4569,W,1,08,1.4,36.4,M,-33.8,M,,0000*54"
106,1706651468.0,GPS1_Frame,42.340493333333335,-71.09095,36.0,327755.10820089444,4689699.316991044,19,T,1.4,"$GPGGA,215108.000,4220.4296,N,07105.4570,W,1,08,1.4,36.0,M,-33.8,M,,0000*54"
107,1706651469.0,GPS1_Frame,42.34049666666667,-71.09095,35.8,327755.11730302457,4689699.687132536,19,T,1.4,"$GPGGA,215109.000,4220.4298,N,07105.4570,W,1,08,1.4,35.8,M,-33.8,M,,0000*50"
108,1706651470.0,GPS1_Frame,42.34050166666667,-71.09095,35.8,327755.1309562209,4689700.242344774,19,T,1.4,"$GPGGA,215110.000,4220.4301,N,07105.4570,W,1,08,1.4,35.8,M,-33.8,M,,0000*59"
109,1706651471.0,GPS1_Frame,42.340505,-71.09095,35.7,327755.1400583526,4689700.612486267,19,T,1.4,"$GPGGA,215111.000,4220.4303,N,07105.4570,W,1,08,1.4,35.7,M,-33.8,M,,0000*55"
110,1706651472.0,GPS1_Frame,42.34050833333333,-71.09095166666667,35.7,327755.01186080184,4689700.986004092,19,T,1.4,"$GPGGA,215112.000,4220.4305,N,07105.4571,W,1,08,1.4,35.7,M,-33.8,M,,0000*51"
111,1706651473.0,GPS1_Frame,42.340513333333334,-71.090955,35.7,327754.7509146657,4689701.547969003,19,T,1.4,"$GPGGA,215113.000,4220.4308,N,07105.4573,W,1,08,1.4,35.7,M,-33.8,M,,0000*5F"
112,1706651474.0,GPS1_Frame,42.340516666666666,-71.09095833333333,35.9,327754.4854174913,4689701.924863178,19,T,1.4,"$GPGGA,215114.000,4220.4310,N,07105.4575,W,1,08,1.4,35.9,M,-33.8,M,,0000*59"
113,1706651475.0,GPS1_Frame,42.34052,-71.09096,36.1,327754.3572200022,4689702.2983810175,19,T,1.4,"$GPGGA,215115.000,4220.4312,N,07105.4576,W,1,08,1.4,36.1,M,-33.8,M,,0000*52"
114,1706651476.0,GPS1_Frame,42.34052333333333,-71.09096333333333,35.9,327754.0917228776,4689702.67527521,19,T,1.4,"$GPGGA,215116.000,4220.4314,N,07105.4578,W,1,08,1.4,35.9,M,-33.8,M,,0000*52"
115,1706651477.0,GPS1_Frame,42.34053,-71.09097,35.6,327753.5607287194,4689703.429063628,19,T,1.4,"$GPGGA,215117.000,4220.4318,N,07105.4582,W,1,07,1.4,35.6,M,-33.8,M,,0000*5A"
116,1706651478.0,GPS1_Frame,42.340538333333335,-71.090975,35.6,327753.1715854222,4689704.364546468,19,T,1.4,"$GPGGA,215118.000,4220.4323,N,07105.4585,W,1,08,1.4,35.6,M,-33.8,M,,0000*55"
