seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
54,1706726387.0,GPS1_Frame,41.97347833333333,-87.90024166666667,148.4,425412.8459969219,4647223.46307893,16,T,1.9,"$GPGGA,183947.000,4158.4087,N,08754.0145,W,1,06,1.9,148.4,M,-34.1,M,,0000*6F",
55,1706726388.0,GPS1_Frame,41.97347833333333,-87.90024166666667,148.5,425412.8459969219,4647223.46307893,16,T,1.9,"$GPGGA,183948.000,4158.4087,N,08754.0145,W,1,06,1.9,148.5,M,-34.1,M,,0000*61",
56,1706726389.0,GPS1_Frame,41.97347833333333,-87.90024166666667,148.5,425412.8459969219,4647223.46307893,16,T,1.9,"$GPGGA,183949.000,4158.4087,N,08754.0145,W,1,06,1.9,148.5,M,-34.1,M,,0000*60",
57,1706726390.0,GPS1_Frame,41.97347666666667,-87.90024,148.6,425412.98214074713,4647223.27657808,16,T,1.9,"$GPGGA,183950.000,4158.4086,N,08754.0144,W,1,06,1.9,148.6,M,-34.1,M,,0000*6B",
58,1706726391.0,GPS1_Frame,41.97347666666667,-87.90024,148.7,425412.98214074713,4647223.27657808,16,T,1.9,"$GPGGA,183951.000,4158.4086,N,08754.0144,W,1,06,1.9,148.7,M,-34.1,M,,0000*6B",
59,1706726392.0,GPS1_Frame,41.973475,-87.90024,148.7,425412.9801960701,4647223.091528391,16,T,1.9,"$GPGGA,183952.000,4158.4085,N,08754.0144,W,1,06,1.9,148.7,M,-34.1,M,,0000*6B",
60,1706726393.0,GPS1_Frame,41.973475,-87.90024,148.8,425412.9801960701,4647223.091528391,16,T,1.9,"$GPGGA,183953.000,4158.4085,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*65",
61,1706726394.0,GPS1_Frame,41.973475,-87.90024,148.8,425412.9801960701,4647223.091528391,16,T,1.9,"$GPGGA,183954.000,4158.4085,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*62",
62,1706726395.0,GPS1_Frame,41.97347333333333,-87.90024,148.8,425412.97825139307,4647222.906478703,16,T,1.9,"$GPGGA,183955.000,4158.4084,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*62",
63,1706726396.0,GPS1_Frame,41.97347333333333,-87.90024,148.9,425412.97825139307,4647222.906478703,16,T,1.9,"$GPGGA,183956.000,4158.4084,N,08754.0144,W,1,06,1.9,148.9,M,-34.1,M,,0000*60",
64,1706726397.0,GPS1_Frame,41.97347333333333,-87.90024,148.9,425412.97825139307,4647222.906478703,16,T,1.9,"$GPGGA,183957.000,4158.4084,N,08754.0144,W,1,06,1.9,148.9,M,-34.1,M,,0000*61",
