Tau,Adev
843.0,2.189980281274283e-05
844.0,2.191483267754659e-05
845.0,2.194091831769472e-05
846.0,2.1855042092304272e-05
847.0,2.1872097069343252e-05
848.0,2.189274529934384e-05
849.0,2.181312427377258e-05
850.0,2.1825722664374372e-05
851.0,2.185093186625889e-05
852.0,2.176382188845315e-05
853.0,2.178485366892031e-05
854.0,2.1801917989193674e-05
855.0,2.1721301544698348e-05
856.0,2.1738583466521504e-05
857.0,2.1755928435554824e-05
858.0,2.167620891303319e-05
859.0,2.169603254439909e-05
860.0,2.1712543521220464e-05
861.0,2.1633560074375577e-05
862.0,2.1657802796675128e-05
863.0,2.1667766589908005e-05
864.0,2.1595653571194187e-05
865.0,2.1614751270494897e-05
866.0,2.1628671017750662e-05
867.0,2.1553752901258007e-05
868.0,2.157727555498185e-05
869.0,2.158803085854831e-05
870.0,2.151637051530957e-05
871.0,2.1539659564735573e-05
872.0,2.1547790879948678e-05
873.0,2.1479152096360895e-05
874.0,2.1502684856072652e-05
875.0,2.1508199242416404e-05
876.0,2.14373050905104e-05
877.0,2.1460369629338806e-05
878.0,2.1464825433845065e-05
879.0,2.1394359246343406e-05
880.0,2.1417716919691966e-05
881.0,2.1420024177184477e-05
882.0,2.1349848492380996e-05
883.0,2.137433221533373e-05
884.0,2.137212630892339e-05
885.0,2.130275960523509e-05
886.0,2.132744578135877e-05
887.0,2.132263276771083e-05
888.0,2.1253941668004154e-05
889.0,2.1280348534612053e-05
890.0,2.1275543903551127e-05
891.0,2.1209115405828055e-05
892.0,2.1234638129271504e-05
893.0,2.1230223242828915e-05
894.0,2.1162003259308586e-05
895.0,2.1190045960035252e-05
896.0,2.1179520854576e-05
897.0,2.1114313256804477e-05
898.0,2.1143015538014086e-05
899.0,2.1130361412442206e-05
900.0,2.1067155539074242e-05
901.0,2.1095718103641028e-05
902.0,2.1084011146298023e-05
903.0,2.1018086772591887e-05
904.0,2.1050382019747548e-05
905.0,2.103131343927773e-05
906.0,2.0969984369158555e-05
907.0,2.0997839302385498e-05
908.0,2.0980475178256876e-05
909.0,2.091700327545785e-05
910.0,2.095077911480533e-05
