Tau,Adev
177.0,5.4618688052361313e-05
178.0,5.446608541135917e-05
179.0,5.43074266663084e-05
180.0,5.4154882872516594e-05
181.0,5.400802093102192e-05
182.0,5.386816678451974e-05
183.0,5.373370473107117e-05
184.0,5.3598263319912727e-05
185.0,5.346418490239266e-05
186.0,5.332994374752683e-05
187.0,5.3203498372838026e-05
188.0,5.3076609470557144e-05
189.0,5.294974557237498e-05
190.0,5.28219840990777e-05
191.0,5.26991839281919e-05
192.0,5.257605513475698e-05
193.0,5.2453780427430506e-05
194.0,5.2330728336363465e-05
195.0,5.221866806284841e-05
196.0,5.210566355390786e-05
197.0,5.198916408404261e-05
198.0,5.187775651347759e-05
199.0,5.1761846549000924e-05
200.0,5.164253733564678e-05
201.0,5.151704404764819e-05
202.0,5.1391214153758545e-05
203.0,5.12683744743089e-05
204.0,5.1150601204239614e-05
205.0,5.103623728579568e-05
206.0,5.0919588734077194e-05
207.0,5.0810622938297276e-05
208.0,5.0708023099364885e-05
209.0,5.060684251711998e-05
210.0,5.051637727005683e-05
211.0,5.042152232980017e-05
212.0,5.03254933336355e-05
213.0,5.023821106444053e-05
214.0,5.014540069114962e-05
215.0,5.005154185563661e-05
216.0,4.995785975383338e-05
217.0,4.9858055445071165e-05
218.0,4.97606245986422e-05
219.0,4.966613080084545e-05
220.0,4.957556493222733e-05
221.0,4.948513582659125e-05
222.0,4.939006535127801e-05
223.0,4.9292707064558265e-05
224.0,4.9194376342098514e-05
225.0,4.909400452709729e-05
226.0,4.899747824606521e-05
227.0,4.889802599201234e-05
228.0,4.879823832224651e-05
229.0,4.8699088178174895e-05
230.0,4.8597091579672674e-05
231.0,4.849943837691265e-05
232.0,4.840405120117359e-05
233.0,4.8312246098651854e-05
234.0,4.822313238897535e-05
235.0,4.813901232288498e-05
236.0,4.805245260135413e-05
237.0,4.7971139561306005e-05
238.0,4.789146216167188e-05
239.0,4.7805043023515225e-05
240.0,4.771823761856132e-05
241.0,4.763753606345083e-05
242.0,4.755792630168511e-05
243.0,4.748111372707913e-05
244.0,4.7403909131712004e-05
245.0,4.732443942457439e-05
246.0,4.724840762976401e-05
247.0,4.7170729394056666e-05
248.0,4.7086792736304764e-05
249.0,4.70041363097093e-05
250.0,4.692197012392311e-05
251.0,4.683916462039102e-05
252.0,4.675743848357825e-05
253.0,4.667389210135132e-05
254.0,4.658739087752786e-05
255.0,4.6500726854370805e-05
256.0,4.641902342249754e-05
257.0,4.6340983014872214e-05
258.0,4.62626778307505e-05
259.0,4.61819097757363e-05
260.0,4.610558821659769e-05
261.0,4.6033567715517464e-05
262.0,4.596409713033034e-05
263.0,4.589495494988392e-05
264.0,4.5825691921653534e-05
265.0,4.5756576109085256e-05
266.0,4.568919481818934e-05
267.0,4.562354513168321e-05
268.0,4.555850927363446e-05
269.0,4.549381653266949e-05
270.0,4.543123453945162e-05
271.0,4.536758675701606e-05
272.0,4.5302443295204466e-05
273.0,4.52339797861369e-05
274.0,4.516243810750633e-05
275.0,4.508791503581526e-05
276.0,4.501633674049388e-05
277.0,4.4942335276859306e-05
278.0,4.486654724107559e-05
279.0,4.4791027803283085e-05
280.0,4.471814478376355e-05
281.0,4.4647186827360956e-05
282.0,4.457688411605419e-05
283.0,4.450791555663146e-05
284.0,4.44376732401253e-05
285.0,4.436631989481896e-05
286.0,4.429797215359402e-05
287.0,4.422775161379005e-05
288.0,4.4159997901212186e-05
289.0,4.4092645594491255e-05
290.0,4.402614855790659e-05
291.0,4.395572214514802e-05
292.0,4.388619207338711e-05
293.0,4.381451785733755e-05
294.0,4.3742572149835094e-05
295.0,4.367218235233862e-05
296.0,4.360179729134656e-05
297.0,4.3529704615871004e-05
298.0,4.3458881310143404e-05
299.0,4.338857201772498e-05
300.0,4.3322917000016525e-05
301.0,4.3260028684751036e-05
302.0,4.319661781606801e-05
303.0,4.313320849433915e-05
304.0,4.3065680007801175e-05
305.0,4.2998171558646315e-05
306.0,4.293058833904514e-05
307.0,4.286134954239853e-05
308.0,4.279277175191008e-05
309.0,4.2724019623127545e-05
310.0,4.265841140683177e-05
311.0,4.2591395565574185e-05
312.0,4.252699332424549e-05
313.0,4.246368964663717e-05
314.0,4.239903126398492e-05
315.0,4.233277460563401e-05
316.0,4.226678516294622e-05
317.0,4.220140634189019e-05
318.0,4.213768880877294e-05
319.0,4.20733585579321e-05
320.0,4.200439919030769e-05
321.0,4.193714854466176e-05
322.0,4.1867641631727666e-05
323.0,4.180214930467712e-05
324.0,4.173850323915653e-05
325.0,4.1672138474470074e-05
326.0,4.161007599651868e-05
327.0,4.155044681243381e-05
328.0,4.149196796362793e-05
329.0,4.1431800632451074e-05
330.0,4.1373000762754624e-05
331.0,4.131511205383778e-05
332.0,4.126135547067193e-05
333.0,4.121031918143983e-05
334.0,4.1157838133403154e-05
335.0,4.110617745448535e-05
336.0,4.105696587034017e-05
337.0,4.100721423032415e-05
338.0,4.095783597411079e-05
339.0,4.0906694767027056e-05
340.0,4.085489452872005e-05
341.0,4.080399423198193e-05
342.0,4.0752974896158266e-05
343.0,4.069818676333761e-05
344.0,4.064356462937636e-05
345.0,4.058828138205303e-05
346.0,4.05338587291203e-05
347.0,4.04811261754343e-05
348.0,4.0429786448613815e-05
349.0,4.037677909278733e-05
350.0,4.0326437519720235e-05
351.0,4.027801708344087e-05
352.0,4.02305120871006e-05
353.0,4.018336559721375e-05
354.0,4.013807007729284e-05
355.0,4.009334679243471e-05
356.0,4.004751581671103e-05
357.0,4.000355177519583e-05
358.0,3.9956386005604286e-05
359.0,3.9911019206349176e-05
360.0,3.9868286087144566e-05
361.0,3.982577107413611e-05
362.0,3.97824468960141e-05
363.0,3.973773789595712e-05
364.0,3.969505904268033e-05
365.0,3.965084208763345e-05
366.0,3.960569533962043e-05
367.0,3.956126581207719e-05
368.0,3.9517441217764006e-05
369.0,3.947489838746501e-05
370.0,3.943259220707424e-05
371.0,3.9391007590967124e-05
372.0,3.935016384492677e-05
373.0,3.9309883172295156e-05
374.0,3.926712195959722e-05
375.0,3.922571587178952e-05
376.0,3.918586085422923e-05
377.0,3.914650866503859e-05
378.0,3.910517020448948e-05
379.0,3.906460252330309e-05
380.0,3.902356598026247e-05
381.0,3.8980044469384734e-05
382.0,3.893698542943856e-05
383.0,3.88936662271772e-05
384.0,3.885269143515621e-05
385.0,3.881075849919843e-05
386.0,3.8766640261930673e-05
387.0,3.872291916132601e-05
388.0,3.8680147573971715e-05
389.0,3.8637652753938815e-05
390.0,3.859605510557281e-05
391.0,3.8553673127627736e-05
392.0,3.8509977779856424e-05
393.0,3.8467512165331626e-05
394.0,3.842593218656728e-05
395.0,3.838419675882163e-05
396.0,3.834341842274208e-05
397.0,3.830243293948559e-05
398.0,3.8262110287797795e-05
399.0,3.822128965185757e-05
400.0,3.818291369367817e-05
401.0,3.8145487053143085e-05
402.0,3.810932794938108e-05
403.0,3.807455485652333e-05
404.0,3.8040846006690255e-05
405.0,3.8006063127161906e-05
406.0,3.7971140647303136e-05
407.0,3.7936534570003386e-05
408.0,3.790371478282151e-05
409.0,3.786905177420113e-05
410.0,3.7833251611967205e-05
411.0,3.7796994003016584e-05
412.0,3.7761595655945825e-05
413.0,3.7726846488236234e-05
414.0,3.769033903685975e-05
415.0,3.765042406941643e-05
416.0,3.761058800499128e-05
417.0,3.757122356065047e-05
